row,col,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_8,EVI_9,EVI_10,EVI_11,EVI_12,EVI_13,EVI_14,EVI_15,EVI_16,EVI_17,EVI_18,EVI_19,EVI_20,EVI_21,EVI_22,EVI_23,EVI_24,EVI_25,EVI_26,EVI_27,EVI_28,EVI_29,EVI_30,EVI_31,EVI_32,EVI_33,EVI_34,EVI_35,EVI_36,EVI_37,EVI_38,EVI_39,EVI_40,EVI_41,EVI_42,EVI_43,EVI_44,EVI_45,EVI_46
1,18,-0.002882,-0.017031,-0.031180,-0.020814,-0.010449,0.003353,-0.059957,-0.037250,-0.014542,-0.001778,0.010987,-0.053532,-0.033201,-0.015516,0.002168,-0.027833,-0.057834,-0.083979,-0.025945,0.029115,0.002094,-0.025458,-0.053010,-0.066803,-0.080597,-0.040493,-0.000390,-0.060168,0.015879,-0.003455,0.046346,0.017080,0.096823,0.061731,0.026640,-0.074232,0.014331,0.002521,-0.009289,-0.026698,-0.013565,-0.000432,0.001915,-0.031549,-0.014782,0.001812
2,19,0.018048,0.007948,0.014222,0.016205,0.018189,0.018800,0.019411,0.002434,-0.014542,0.016900,0.048343,0.051789,0.055234,0.068025,0.066826,0.062999,0.057177,0.054173,0.051169,0.058776,0.058287,0.035023,0.011759,0.031258,-0.013584,-0.006457,0.000670,0.013741,0.026812,0.090581,0.074509,0.077137,0.145140,0.042847,0.054061,0.065275,0.030947,0.070855,0.032525,0.022968,0.016133,0.009298,0.008599,0.042274,0.001376,0.003539
3,19,0.031543,0.027710,0.032624,0.029356,0.035594,0.024339,0.031209,0.039420,0.041556,0.042402,0.043249,0.040071,0.036893,0.068025,0.071022,0.077686,0.058440,0.073624,0.064531,0.078871,0.078529,0.058039,0.037549,0.052074,0.039670,0.039673,0.039676,0.055322,0.070968,0.087205,0.103442,0.076595,0.136528,0.072674,0.068974,0.065275,0.085911,0.070855,0.039898,0.015649,0.000323,-0.015003,0.000645,0.016292,0.002878,-0.019545
3,20,0.031543,0.027710,0.036198,0.030359,0.032869,0.024339,0.031209,0.036682,0.042156,0.048654,0.055151,0.032071,0.030005,0.071005,0.076898,0.049250,0.038612,0.073624,0.064531,0.046989,0.078529,0.044932,0.011335,0.046291,0.023707,0.031692,0.039676,0.055322,0.070968,0.076564,0.069036,0.043968,0.062165,0.080362,0.073159,0.065955,0.075097,0.084238,0.044598,0.004957,-0.003168,-0.011294,0.002499,0.016292,-0.015157,-0.006977
7,10,0.132761,0.132761,0.132761,0.115003,0.097245,0.107369,0.127039,0.163468,0.201781,0.256582,0.311383,0.405014,0.498645,0.404740,0.690478,0.534422,0.497538,0.427240,0.474142,0.239895,0.134926,0.141612,0.148298,0.194063,0.239828,0.336102,0.432377,0.593886,0.649776,0.663992,0.721648,0.546714,0.539248,0.531783,0.476163,0.420543,0.375759,0.246876,0.267907,0.230774,0.193641,0.156508,0.144629,0.174660,0.156265,0.137870
8,6,0.125488,0.125488,0.125488,0.110001,0.094514,0.091927,0.138370,0.157349,0.176329,0.238788,0.301248,0.447372,0.486276,0.417943,0.621798,0.504088,0.463766,0.469430,0.460267,0.228771,0.158810,0.144111,0.129412,0.147673,0.185895,0.321526,0.457157,0.526316,0.593206,0.640005,0.686805,0.669678,0.630219,0.590760,0.443991,0.408719,0.437592,0.226679,0.207879,0.189080,0.170281,0.151482,0.132682,0.119401,0.098411,0.137524
9,6,0.126330,0.126330,0.126330,0.113906,0.101482,0.117849,0.152158,0.187248,0.222339,0.291315,0.360290,0.447372,0.486276,0.452146,0.621798,0.515865,0.516399,0.469430,0.453655,0.235013,0.160715,0.151227,0.141738,0.179298,0.232413,0.326335,0.420257,0.551349,0.625412,0.669391,0.713371,0.676558,0.658505,0.640453,0.552948,0.400797,0.306550,0.197287,0.286619,0.239002,0.191385,0.143769,0.137586,0.132391,0.122236,0.102190
9,7,0.118106,0.118106,0.118106,0.108826,0.099546,0.117849,0.135845,0.172807,0.209769,0.285030,0.360290,0.445164,0.478167,0.453761,0.609601,0.611040,0.516399,0.513956,0.483793,0.235013,0.160715,0.118506,0.076298,0.122723,0.169149,0.291808,0.414466,0.526316,0.625412,0.703307,0.728774,0.687612,0.652269,0.616925,0.519145,0.421366,0.449006,0.299487,0.254760,0.210033,0.165306,0.120579,0.099454,0.132391,0.122236,0.102190
10,35,0.005977,0.007483,0.008989,0.018993,0.028997,-0.046176,-0.011503,-0.001407,0.008688,0.018784,0.011716,-0.010404,0.038213,0.058226,0.058017,0.016727,-0.023057,0.001165,-0.045793,-0.017397,0.014602,0.000170,-0.014261,-0.002834,0.008592,0.020019,0.031445,-0.005658,0.022694,0.076700,0.072243,0.064869,0.053104,0.041339,0.029574,0.022729,-0.001856,0.017627,0.009052,0.000477,0.008006,0.015535,0.004324,0.016132,0.027940,0.003206
11,35,-0.039687,-0.025715,-0.011743,-0.029634,-0.047526,-0.026672,-0.034729,-0.026131,-0.017532,-0.008934,0.011716,-0.033534,-0.043480,0.004738,-0.006812,0.046390,-0.022127,-0.017375,-0.012622,0.029917,0.035836,-0.022135,-0.080106,-0.054335,-0.028564,-0.002793,0.031445,-0.013020,0.009554,0.032128,0.023415,0.038900,0.054385,0.036655,0.018924,0.017495,0.011180,-0.016074,-0.009089,-0.002103,-0.012848,-0.023592,0.002568,0.002797,-0.008504,-0.042089
11,36,0.020387,0.024886,0.029385,0.012658,-0.004069,-0.026672,0.026388,0.026481,0.026573,0.026665,0.026757,-0.033534,-0.004846,0.049124,0.031436,0.046390,0.025187,0.003985,-0.012622,0.040632,0.035836,-0.022951,-0.081738,-0.078139,-0.074540,-0.034097,0.006346,-0.013020,0.019995,0.053010,0.016577,0.017844,-0.001505,0.008710,0.018924,0.003118,0.005434,0.023856,-0.022431,-0.002103,0.008328,0.018759,0.002568,0.038823,-0.008504,0.002155
11,37,0.020387,0.024886,0.029385,0.012658,-0.004069,-0.026672,0.026388,0.026481,0.026573,0.026665,0.026757,-0.033534,-0.004846,0.049124,0.031436,0.046390,0.025187,0.003985,-0.012622,0.040632,0.035836,-0.022951,-0.081738,-0.078139,-0.074540,-0.034097,0.006346,-0.013020,0.019995,0.053010,0.016577,0.017844,-0.001505,0.008710,0.018924,0.003118,0.005434,0.023856,-0.022431,-0.002103,0.008328,0.018759,0.002568,0.038823,-0.008504,0.002155
12,2,0.120910,0.120910,0.120910,0.114606,0.108302,0.110036,0.122557,0.164450,0.172210,0.220055,0.267901,0.359710,0.419049,0.371263,0.440615,0.443153,0.497223,0.496387,0.468936,0.207170,0.151355,0.133546,0.115737,0.158634,0.201532,0.349533,0.497534,0.534256,0.628632,0.637472,0.668979,0.571587,0.550393,0.529199,0.505697,0.387249,0.360703,0.301990,0.243278,0.220257,0.197237,0.174216,0.151195,0.128175,0.129966,0.132836
12,3,0.120910,0.120910,0.120910,0.114606,0.108302,0.110036,0.122557,0.164450,0.172210,0.220055,0.267901,0.359710,0.419049,0.371263,0.440615,0.443153,0.497223,0.496387,0.468936,0.207170,0.151355,0.133546,0.115737,0.158634,0.201532,0.349533,0.497534,0.534256,0.628632,0.637472,0.668979,0.571587,0.550393,0.529199,0.505697,0.387249,0.360703,0.301990,0.243278,0.220257,0.197237,0.174216,0.151195,0.128175,0.129966,0.132836
12,38,0.035961,-0.003920,0.029385,0.032865,0.036345,0.024525,-0.026689,-0.050216,-0.073744,-0.020330,0.033084,-0.012155,-0.007401,-0.000962,-0.075007,-0.026827,-0.064643,0.005018,-0.027492,-0.026660,-0.015412,-0.039923,-0.064434,-0.088338,-0.112242,-0.098435,-0.084627,0.016127,-0.055263,0.004723,-0.021112,-0.050899,-0.039100,-0.027300,-0.015501,0.010756,0.037013,0.063270,0.052753,0.042235,0.035614,0.028992,0.031390,0.037876,0.020237,0.029554
12,39,0.035961,-0.003920,0.029385,0.032865,0.036345,0.024525,-0.026689,-0.050216,-0.073744,-0.020330,0.033084,-0.012155,-0.007401,-0.000962,-0.075007,-0.026827,-0.064643,0.005018,-0.027492,-0.026660,-0.015412,-0.039923,-0.064434,-0.088338,-0.112242,-0.098435,-0.084627,0.016127,-0.055263,0.004723,-0.021112,-0.050899,-0.039100,-0.027300,-0.015501,0.010756,0.037013,0.063270,0.052753,0.042235,0.035614,0.028992,0.031390,0.037876,0.020237,0.029554
12,40,0.025192,0.017899,0.010605,0.003312,-0.003981,0.001154,-0.026689,-0.049450,-0.072212,-0.036993,-0.001774,-0.005583,-0.048616,-0.000962,0.034262,0.037777,0.011375,0.005018,-0.027492,0.017734,-0.027130,-0.045782,-0.064434,-0.041268,-0.018103,0.005062,0.028227,0.016127,0.052566,0.110349,0.062605,0.034391,0.039521,0.025834,0.012147,-0.021197,0.065470,0.063270,0.059676,0.056082,0.052487,0.048893,0.017477,0.045524,-0.018061,-0.002973
13,2,0.125234,0.125234,0.125234,0.121014,0.116795,0.119645,0.142523,0.181197,0.186132,0.246576,0.307020,0.389872,0.430510,0.432929,0.524057,0.549839,0.571824,0.497813,0.490898,0.220049,0.151215,0.167781,0.184348,0.200914,0.217480,0.307003,0.396526,0.485367,0.656919,0.605552,0.669945,0.670912,0.600055,0.529199,0.470071,0.394805,0.382730,0.261560,0.238078,0.221174,0.204270,0.187366,0.170462,0.153558,0.124395,0.103109
13,3,0.132957,0.132957,0.132957,0.128514,0.124071,0.151614,0.204918,0.215273,0.205928,0.280855,0.355783,0.434179,0.479762,0.421455,0.630398,0.521784,0.554202,0.524484,0.490898,0.232497,0.147202,0.134422,0.121641,0.169561,0.217480,0.331543,0.445606,0.598618,0.693112,0.683358,0.678868,0.595438,0.590530,0.585622,0.553030,0.395527,0.388153,0.261560,0.271472,0.241379,0.211285,0.181191,0.151097,0.121003,0.112578,0.095316
13,4,0.206963,0.206963,0.206963,0.192320,0.177677,0.151614,0.248121,0.215273,0.282082,0.318933,0.355783,0.510772,0.520815,0.426353,0.630398,0.521960,0.539950,0.512950,0.529356,0.192447,0.147202,0.137564,0.127926,0.175060,0.222194,0.348273,0.474352,0.558438,0.669831,0.685662,0.678868,0.674478,0.676073,0.677667,0.540712,0.411937,0.447375,0.276897,0.302800,0.270155,0.237511,0.204866,0.172222,0.139578,0.112578,0.095316
13,5,0.206963,0.206963,0.206963,0.192320,0.177677,0.151614,0.248121,0.215273,0.282082,0.318933,0.355783,0.510772,0.520815,0.426353,0.630398,0.521960,0.539950,0.512950,0.529356,0.192447,0.147202,0.137564,0.127926,0.175060,0.222194,0.348273,0.474352,0.558438,0.669831,0.685662,0.678868,0.674478,0.676073,0.677667,0.540712,0.411937,0.447375,0.276897,0.302800,0.270155,0.237511,0.204866,0.172222,0.139578,0.112578,0.095316
14,4,0.206963,0.206963,0.206963,0.211036,0.215108,0.141993,0.207680,0.273732,0.296970,0.374612,0.452253,0.409772,0.484311,0.450596,0.658274,0.521960,0.550050,0.529766,0.529356,0.186703,0.128675,0.133953,0.139231,0.184113,0.228994,0.365598,0.502202,0.589886,0.666354,0.654424,0.642494,0.715405,0.681054,0.646703,0.592412,0.419579,0.406321,0.282873,0.304272,0.241975,0.179679,0.117382,0.119921,0.129776,0.118332,0.119245
