row,col,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_8,EVI_9,EVI_10,EVI_11,EVI_12,EVI_13,EVI_14,EVI_15,EVI_16,EVI_17,EVI_18,EVI_19,EVI_20,EVI_21,EVI_22,EVI_23,EVI_24,EVI_25,EVI_26,EVI_27,EVI_28,EVI_29,EVI_30,EVI_31,EVI_32,EVI_33,EVI_34,EVI_35,EVI_36,EVI_37,EVI_38,EVI_39,EVI_40,EVI_41,EVI_42,EVI_43,EVI_44,EVI_45,EVI_46
1,18,-0.357905,-0.364102,-0.370299,-0.367786,-0.365273,-0.313367,-0.392892,-0.398524,-0.404156,-0.382219,-0.360283,-0.466081,-0.377001,-0.379666,-0.382330,-0.427183,-0.472036,-0.489548,-0.434462,-0.321863,-0.414164,-0.439019,-0.463875,-0.492283,-0.520691,-0.399883,-0.279074,-0.482671,-0.298402,-0.344187,-0.233635,-0.300650,-0.081192,-0.143572,-0.205951,-0.445980,-0.308872,-0.283123,-0.257373,-0.369596,-0.326639,-0.283681,-0.324312,-0.347222,-0.328256,-0.285719
2,19,-0.287580,-0.337729,-0.332396,-0.300361,-0.268327,-0.235225,-0.202123,-0.303139,-0.404156,-0.327649,-0.251142,-0.228353,-0.205565,-0.182737,-0.237334,-0.210602,-0.257109,-0.261919,-0.266728,-0.255360,-0.275032,-0.289392,-0.303752,-0.213606,-0.373261,-0.292292,-0.211324,-0.214122,-0.216920,-0.088397,-0.173428,-0.096657,0.022200,-0.127333,-0.129598,-0.131863,-0.192632,-0.201612,-0.229487,-0.218281,-0.221718,-0.225155,-0.249553,-0.185466,-0.281110,-0.279152
3,19,-0.267193,-0.303925,-0.263740,-0.339860,-0.247464,-0.242304,-0.178178,-0.278999,-0.329610,-0.299519,-0.269428,-0.270473,-0.271518,-0.182737,-0.156044,-0.170285,-0.232801,-0.218089,-0.252972,-0.209771,-0.216327,-0.224278,-0.232228,-0.142964,-0.256475,-0.215667,-0.174859,-0.159219,-0.143579,-0.152637,-0.161696,-0.139862,0.021071,-0.093865,-0.112864,-0.131863,-0.118373,-0.201612,-0.190206,-0.233276,-0.251642,-0.270007,-0.245213,-0.220420,-0.252456,-0.296513
3,20,-0.267193,-0.303925,-0.249106,-0.297452,-0.212877,-0.242304,-0.178178,-0.224419,-0.270661,-0.254866,-0.239071,-0.273973,-0.255587,-0.139137,-0.068605,-0.187075,-0.176320,-0.218089,-0.252972,-0.198577,-0.216327,-0.270020,-0.323713,-0.218323,-0.276133,-0.225496,-0.174859,-0.159219,-0.143579,-0.090441,-0.161909,-0.127231,-0.117663,-0.108095,-0.112903,-0.117712,-0.136408,-0.155105,-0.199306,-0.243507,-0.245146,-0.246786,-0.233603,-0.220420,-0.295293,-0.297493
7,10,-0.039946,-0.039946,-0.039946,-0.039717,-0.039487,-0.040728,0.019697,0.019120,0.059703,0.163855,0.268008,0.383326,0.498645,0.404740,0.690478,0.534422,0.497538,0.427240,0.474142,0.105488,-0.067686,-0.029445,0.008796,0.114208,0.219620,0.325998,0.432377,0.593886,0.649776,0.663992,0.721648,0.546714,0.539248,0.531783,0.476163,0.420543,0.375759,0.152639,0.217668,0.160185,0.102703,0.045221,0.013122,0.030750,0.016262,0.001774
8,6,-0.061881,-0.061881,-0.061881,-0.061973,-0.062066,-0.084433,0.032124,0.023848,0.015572,0.123796,0.232021,0.447372,0.486276,0.417943,0.621798,0.504088,0.463766,0.469430,0.460267,0.131827,-0.003176,-0.021623,-0.040070,-0.005067,0.115838,0.286497,0.457157,0.526316,0.593206,0.640005,0.686805,0.669678,0.630219,0.590760,0.443991,0.408719,0.437592,0.098546,0.077498,0.056450,0.035402,0.014354,-0.006694,-0.054598,-0.070772,-0.031339
9,6,-0.061426,-0.061426,-0.061426,-0.048835,-0.036245,-0.031476,0.060444,0.081121,0.101797,0.225186,0.348576,0.447372,0.486276,0.452146,0.621798,0.515865,0.516399,0.469430,0.453655,0.143983,-0.004563,-0.004283,-0.004004,0.058545,0.198232,0.309245,0.420257,0.551349,0.625412,0.669391,0.713371,0.676558,0.658505,0.640453,0.552948,0.400797,0.293126,0.051168,0.238797,0.177705,0.116614,0.055522,0.006614,-0.028422,-0.017961,-0.050675
9,7,-0.086784,-0.086784,-0.086784,-0.061609,-0.036434,-0.031476,0.013662,0.048392,0.083123,0.215849,0.348576,0.445164,0.478167,0.453761,0.609601,0.611040,0.516399,0.513956,0.483793,0.143983,-0.004563,-0.082859,-0.161156,-0.039017,0.083123,0.248794,0.414466,0.526316,0.625412,0.703307,0.728774,0.687612,0.652269,0.616925,0.519145,0.421366,0.449006,0.213067,0.162562,0.112057,0.061552,0.011047,-0.084364,-0.028422,-0.017961,-0.050675
10,35,-0.285659,-0.284143,-0.282628,-0.254543,-0.226458,-0.318389,-0.264857,-0.269868,-0.274879,-0.279891,-0.251209,-0.333510,-0.217519,-0.188036,-0.173708,-0.241534,-0.337843,-0.237388,-0.314433,-0.297744,-0.342396,-0.320274,-0.298153,-0.256724,-0.215295,-0.173866,-0.132437,-0.259844,-0.181166,-0.055300,-0.125843,-0.109927,-0.117690,-0.125452,-0.133215,-0.165477,-0.225740,-0.170283,-0.199145,-0.228008,-0.208960,-0.189912,-0.272841,-0.247521,-0.222200,-0.253734
11,35,-0.319867,-0.291313,-0.262758,-0.277561,-0.292364,-0.276979,-0.283923,-0.295527,-0.307131,-0.318735,-0.251209,-0.352935,-0.340151,-0.257856,-0.225080,-0.203675,-0.332218,-0.279087,-0.225955,-0.112257,-0.306109,-0.376637,-0.447164,-0.405887,-0.364609,-0.323331,-0.132437,-0.275550,-0.201940,-0.128329,-0.180564,-0.136225,-0.091886,-0.117313,-0.142739,-0.158762,-0.173650,-0.214034,-0.223946,-0.233858,-0.234694,-0.235530,-0.254430,-0.215458,-0.252859,-0.326322
