year,row,col,evi_t01,evi_t02,evi_t03,evi_t04,evi_t05,evi_t06,evi_t07,evi_t08,evi_t09,evi_t10,evi_t11,evi_t12,evi_t13,evi_t14,evi_t15,evi_t16,evi_t17,evi_t18,evi_t19,evi_t20,evi_t21,evi_t22,evi_t23
2001,0,1,0.1488000005,0.1641999930,0.2065999955,0.1436000019,0.2014999986,0.2838000059,0.3100999892,0.3350999951,0.2128999978,0.1469999999,0.0882000029,0.3291000128,0.5340999961,0.5368000269,0.4652000070,0.4686000049,0.2949000001,0.2876999974,0.1655000001,0.1391000003,0.1289000064,0.1136000007,0.1705999970
2001,0,2,0.2197999954,0.2232999951,0.2065999955,0.2240000069,0.3120999932,0.3865999877,0.3926999867,0.4260999858,0.3357000053,0.2137999982,0.1111999974,0.2080000043,0.5699999928,0.6334000230,0.6304000020,0.4153999984,0.4122999907,0.2876999974,0.2326000035,0.1757999957,0.1985999942,0.1696999967,0.1825000048
2001,0,3,0.2388000041,0.2449000031,0.2709000111,0.2741999924,0.3490000069,0.4115999937,0.4029000103,0.4377999902,0.3373999894,0.1986999959,0.1111999974,0.3508000076,0.5699999928,0.6334000230,0.6561999917,0.5691000223,0.4508000016,0.3499999940,0.2292000055,0.1579000056,0.1630000025,0.1652999967,0.2018000036
2001,0,4,0.2035000026,0.1776999980,0.2649999857,0.3431000113,0.3125999868,0.3079000115,0.3036000133,0.4081000090,0.2980000079,0.1708000004,0.0910999998,0.3508000076,0.5630999804,0.5566999912,0.5394999981,0.3522999883,0.3962999880,0.2064999938,0.2292000055,0.1578000039,0.1630000025,0.1519999951,0.1404000074
2001,0,14,0.2249000072,0.1266999990,0.2509000003,0.2989000082,0.2752000093,0.3510999978,0.3637000024,0.4081000090,0.2969000041,0.1788000017,0.0856000036,0.3571999967,0.5303999782,0.6287000179,0.5468000174,0.4176999927,0.3249999881,0.3350000083,0.3160000145,0.1159000024,0.1141000018,0.1435000002,0.1606999934
2001,0,17,0.1985999942,0.0806000009,0.2624000013,0.2655000091,0.3375999928,0.3851999938,0.4212999940,0.3973999918,0.3258000016,0.2251999974,0.1163000017,0.3643000126,0.4700999856,0.6739000082,0.6309999824,0.4088000059,0.3510000110,0.3443000019,0.3050000072,0.1252000034,0.1677999943,0.1692000031,0.1720000058
2001,0,20,0.2635999918,0.2211000025,0.3007999957,0.3142000139,0.3406000137,0.4517999887,0.5174000263,0.5069000125,0.3666000068,0.1869000047,0.1055999994,0.4101000130,0.6557000279,0.7211999893,0.5898000002,0.4523000121,0.3799999952,0.3819999993,0.3151000142,0.1182999983,0.1658000052,0.2166000009,0.1590999961
2001,0,21,0.2524999976,0.2508000135,0.2588000000,0.2942000031,0.3353999853,0.4379000068,0.5004000068,0.4688999951,0.3811999857,0.1955000013,0.1077999994,0.3887000084,0.5764999986,0.6536999941,0.5898000002,0.4790000021,0.3959999979,0.3819999993,0.3151000142,0.1085999981,0.1564999968,0.2166000009,0.1562000066
2001,0,22,0.2241999954,0.2508000135,0.2444999963,0.2698999941,0.3639999926,0.4379000068,0.4533999860,0.4223000109,0.3657000065,0.1955000013,0.0671999976,0.3601000011,0.5313000083,0.6536999941,0.5575000048,0.3747000098,0.4185000062,0.3725000024,0.2838000059,0.1263999939,0.1564999968,0.1868000031,0.1562000066
2001,0,23,0.2241999954,0.2508000135,0.2444999963,0.2698999941,0.3639999926,0.4379000068,0.4533999860,0.4223000109,0.3657000065,0.1955000013,0.0671999976,0.3601000011,0.5313000083,0.6536999941,0.5575000048,0.3747000098,0.4185000062,0.3725000024,0.2838000059,0.1263999939,0.1564999968,0.1868000031,0.1562000066
2001,0,24,0.2054000050,0.2295999974,0.2639000118,0.2698999941,0.3138000071,0.3867000043,0.4533999860,0.4223000109,0.3341999948,0.2168000042,0.1338000000,0.3601000011,0.4706000090,0.6284999847,0.5575000048,0.2958000004,0.2964000106,0.2834999859,0.2838000059,0.1263999939,0.1747999936,0.1868000031,0.1519999951
2001,1,0,0.1237000003,0.1238999963,0.1103999987,0.1303000003,0.2152999938,0.2066999972,0.2093999982,0.3091999888,0.2648999989,0.1914000064,0.1124000028,0.3221000135,0.4061000049,0.5794000030,0.4936000109,0.4611000121,0.3470000029,0.3592000008,0.2100999951,0.1512999982,0.1412000060,0.1137999967,0.1280999929
2001,1,1,0.1420000046,0.1238999963,0.1741999984,0.1303000003,0.1696999967,0.2651999891,0.3923999965,0.3441999853,0.3156000078,0.1914000064,0.1124000028,0.0983000025,0.5343999863,0.5794000030,0.4900999963,0.5275999904,0.3470000029,0.3592000008,0.2100999951,0.1271000057,0.1412000060,0.1796000004,0.1642999947
2001,1,2,0.1682000011,0.1682000011,0.2177000046,0.2533999979,0.2867999971,0.3459999859,0.4104999900,0.3914999962,0.3156000078,0.2020999938,0.1076000035,0.3386000097,0.5249999762,0.6171000004,0.5473999977,0.5275999904,0.5026000142,0.3540000021,0.2703999877,0.1493999958,0.1922000051,0.1796000004,0.1782000065
